1. Безпалий Тарас Геннадійович	ГО "Асоціація правників України"	досьє
2. Боровик Андрій Петрович	ГО "Трансперенсі Інтернешнл Україна"	досьє
3. Гарус Максим Валерійович	ГО "Національне благо України"	досьє
4. Демиденко Ганна Павлівна	ГО "ВО Антикорупційний блокпост"	досьє
5. Діжечко Максим Володимирович	ГО "Демократична сокира орди"	досьє
6. Дрік Олександра Миколаївна	ГО "Громадський люстраційний комітет"	досьє
7. Дубішин Антон Валерійович	ГО "Особлива команда"	досьє
8. Калинчук Анна Сегріївна	ГО "Громадський люстраційний комітет"	досьє
9. Капран Юлія Олександрівна	ВГО "Українська громадська рада"	досьє
10. Карась Євген Васильович	ГО "СІЧ-С14"	досьє
11. Коваленко Володимир Миколайович	ГО "Національне благо України"	досьє
12. Коваленко Олександр Миколайович	ГО "Національне благо України"	досьє
13. Козаченко Тетяна Анатоліївна	ГО "Громадський люстраційний комітет"	досьє
14. Кочергін Юрій Анатолійович	ГО "Мольфар"	досьє
15. Кравцов Станіслав Вікторович	ГО "Антикорупційний контроль України"	досьє
16. Лагутенко Артем Олександрович	ГО "Стоп корупції"	досьє
17. Лахтіонов Іван Валентинович	ГО "Трансперенсі Інтернешнл Україна"	досьє
18. Локацька Тетяна Станіславівна	ГО "Демократична сокира орди"	досьє
19. Любар Ігор В`ячеславович	ГО "Міжнародний правозахисний центр"	досьє
20. Мазур Анатолій Іванович	ГО "Демократична сокира орди"	досьє
21. Матвійчук Богдан Олексндрович	ГО "Журналісти проти корупції"	досьє
22. Миткалик Сергій Іванович	ГО "Антикорупційний штаб"	досьє
23. Остропілець Роман Євгенович	ГО "Міжнародний правозахисний центр"	досьє
24. Павлова Світлана Вадимівна	ГО "Мольфар"	досьє
25. Порядін Олександр Сергійович	ГО "Центр боротьби з корупцією на Київщині"	досьє
26. Пушак Олег Васильович	ВО "Автомайдан"	досьє
27. Рибалкін Володимир Миколайович	ГО "Стоп корупції"	досьє
28. Риженко Катерина Геннадіївна	ГО "Трансперенсі Інтернешнл Україна"	досьє
29. Рисенко Володимир Миколайович	ГО "Харківський Антикорупційний Центр"	досьє
30. Романюков Артем Валерійович	ГО "Платформа Громадський Контроль"	досьє
31. Саєнко Вячеслав Леонідович	ГО "Міжнародна антикорупційна асамблея"	досьє
32. Симоненко Злата Віталіївна	ГО "Асоціація правників України"	досьє
33. Сокур Сергій Володимирович	ВЦПКСПО "Антикорупційна ініціатива"	досьє
34. Стерненко Сергій Вячеславович	ГНГО "Небайдужі"	досьє
35. Устименко Віталій Миколайович	ВО "Автомайдан"	досьє
36. Харечко Володимир Іванович	ГО "ТОМ14"	досьє
37. Чепіженко Валерій Іванович	ГО "Мольфар"	досьє
38. Шевчук Олексій Анатолійович	ВГО "Асоціація адвокатів України"	досьє
39. Щукіна Олександра Станіславівна	ГО "Стоп корупції"	досьє
40. Янченко Галина Ігорівна	ГО "Антикорупційний штаб"	досьє
